Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-07-29,West,12.65,23.55,15.95,30.7,14.0,0.34,49.95
2016-07-30,West,11.69,22.88,6.62,29.38,24.44,0.35,48.94
2016-07-31,West,13.42,26.05,9.89,29.05,36.84,0.44,52.42
2016-08-01,West,15.12,26.46,13.54,35.29,19.92,0.54,54.33
2016-08-02,West,12.79,22.12,14.88,27.5,22.96,0.27,50.92
2016-08-03,West,12.62,22.79,15.04,28.33,20.75,0.3,50.42
2016-08-04,West,11.9,23.1,19.81,23.0,28.14,0.3,49.24
2016-08-05,West,14.61,24.87,19.78,31.61,34.83,0.41,53.7
2016-08-06,West,17.46,30.29,22.67,36.12,39.5,0.39,56.96
2016-08-07,West,20.17,31.91,22.3,18.61,22.61,0.45,60.13
2016-08-08,West,20.78,33.48,23.83,24.65,23.39,0.4,60.78
2016-08-09,West,22.08,36.67,32.12,34.25,17.88,0.75,62.12
2016-08-10,West,15.61,26.43,31.87,26.91,26.39,0.38,54.74
2016-08-11,West,13.61,25.89,21.61,37.56,29.61,0.42,52.33
2016-08-12,West,15.96,28.21,23.88,29.92,27.92,0.41,55.25
2016-08-13,West,16.08,27.67,29.29,30.54,36.38,0.48,55.46
2016-08-14,West,15.92,26.54,36.5,25.38,18.67,0.46,55.29
2016-08-15,West,15.38,26.79,25.5,31.0,31.42,0.37,54.38
2016-08-16,West,9.5,19.46,27.79,23.17,40.38,0.38,39.79
2016-08-17,West,11.04,21.71,15.38,30.29,38.08,0.32,46.42
2016-08-18,West,12.3,24.22,17.7,24.57,36.43,0.42,50.09
2016-08-19,West,11.46,22.17,15.21,28.96,43.58,0.38,47.75
2016-08-20,West,10.6,20.15,18.35,23.05,34.25,0.33,44.4
2016-08-21,West,9.92,19.29,16.83,30.75,28.17,0.55,40.92
2016-08-22,West,10.0,19.79,19.0,31.67,25.5,0.47,41.71
2016-08-23,West,19.25,30.92,23.12,45.67,20.92,0.56,59.17
2016-08-24,West,19.55,30.05,19.27,21.77,16.91,0.62,59.55
2016-08-25,West,8.92,16.38,25.21,23.88,16.5,0.35,36.92
2016-08-26,West,38.78,49.26,46.91,25.04,28.04,1.18,77.57
2016-08-27,West,74.54,88.54,41.62,27.08,16.62,1.13,120.58
2016-08-28,West,31.39,44.43,25.43,38.52,24.04,0.68,72.87
2016-08-29,West,37.96,52.96,26.67,32.88,21.71,0.85,80.29
2016-08-30,West,16.74,27.22,17.7,35.39,27.57,0.47,56.17
2016-08-31,West,15.08,26.96,13.96,29.79,23.33,0.53,54.33
2016-09-01,West,16.12,26.62,11.42,35.04,17.79,0.54,55.79
2016-09-02,West,14.04,24.46,10.46,28.92,21.5,0.51,53.21
2016-09-03,West,13.33,23.58,16.67,31.71,19.83,0.49,51.58
2016-09-04,West,21.96,34.71,19.33,40.54,24.0,0.58,62.12
2016-09-05,West,24.88,36.21,33.17,27.54,19.96,0.51,65.46
2016-09-06,West,14.29,23.12,29.83,27.62,15.58,0.35,53.38
2016-09-07,West,10.71,19.88,19.42,23.5,21.33,0.33,45.25
2016-09-08,West,13.05,22.24,14.62,28.67,25.67,0.34,50.48
2016-09-09,West,13.92,25.62,10.83,26.04,27.33,0.45,53.04
2016-09-10,West,14.88,27.12,10.62,28.79,15.21,0.59,54.17
2016-09-11,West,15.76,27.62,17.19,29.43,32.67,0.31,55.24
2016-09-12,West,10.04,21.12,21.46,20.04,31.92,0.25,41.83
2016-09-13,West,14.86,27.33,14.62,32.86,22.43,0.55,53.05
2016-09-14,West,10.71,20.29,9.67,29.04,31.25,0.29,42.79
2016-09-15,West,11.54,22.46,13.29,29.17,26.92,0.49,47.0
2016-09-16,West,12.04,22.79,16.17,25.12,26.83,0.37,47.83
2016-09-17,West,9.12,19.96,26.29,15.83,21.71,0.31,38.33
2016-09-18,West,15.33,24.71,32.42,22.25,15.88,0.43,54.17
2016-09-19,West,10.92,20.71,29.62,16.33,22.42,0.3,44.21
2016-09-20,West,7.17,16.75,29.08,10.04,12.5,0.26,29.88
2016-09-21,West,8.26,16.74,25.0,18.35,10.17,0.31,34.65
2016-09-22,West,16.18,27.68,26.5,24.09,9.64,0.67,55.23
2016-09-23,West,14.0,24.92,36.75,18.46,15.21,0.33,53.08
2016-09-24,West,15.0,28.11,22.33,25.44,21.33,0.61,54.0
2016-09-25,West,13.2,24.47,46.6,19.73,20.4,0.36,52.2
2016-09-26,West,16.33,27.75,33.25,26.58,21.88,0.42,55.88
2016-09-27,West,19.95,33.1,43.9,26.9,13.65,0.48,59.9
2016-09-28,West,23.88,38.33,44.71,16.79,12.42,0.41,64.5
2016-09-29,West,14.88,26.62,36.75,21.44,9.0,0.37,54.12
2016-09-30,West,12.38,23.75,34.12,31.0,9.56,0.41,48.88
2016-10-01,West,16.21,30.46,25.67,25.46,11.46,0.54,55.75
2016-10-02,West,12.79,25.38,52.5,13.75,13.58,0.26,51.17
2016-10-03,West,18.21,30.53,31.16,27.68,19.68,0.31,57.68
2016-10-04,West,18.61,31.22,41.44,25.11,16.22,0.39,58.5
2016-10-05,West,26.62,42.88,32.19,38.94,13.69,0.76,67.69
2016-10-06,West,26.0,39.58,26.32,32.53,10.32,0.52,66.79
2016-10-07,West,23.23,35.23,5.77,30.0,19.32,0.46,63.68
2016-10-08,West,11.54,22.38,23.29,12.38,12.21,0.36,46.88
2016-10-09,West,13.75,25.33,27.12,31.88,29.08,0.38,52.0
2016-10-10,West,16.75,28.79,43.42,20.83,23.04,0.68,56.29
2016-10-11,West,15.79,29.21,42.42,12.42,7.33,0.67,54.75
2016-10-12,West,9.42,21.17,46.12,8.88,6.92,0.29,39.08
2016-10-13,West,9.67,21.83,33.96,9.83,9.25,0.22,40.25
2016-10-14,West,9.29,19.96,32.58,19.67,12.96,0.35,39.12
2016-10-15,West,11.46,21.38,30.58,15.21,17.75,0.33,47.29
2016-10-16,West,7.71,16.54,39.21,11.46,11.88,0.3,31.62
2016-10-17,West,6.71,15.25,30.62,19.46,12.92,0.4,28.17
2016-10-18,West,8.5,17.67,26.88,25.54,17.0,0.47,35.5
2016-10-19,West,9.92,20.5,19.38,27.29,19.21,0.45,41.38
2016-10-20,West,11.04,20.71,35.96,31.17,15.5,0.44,43.88
2016-10-21,West,16.04,27.79,22.58,37.38,23.54,0.46,55.46
2016-10-22,West,13.4,24.05,28.6,20.65,15.5,0.44,51.25
2016-10-23,West,14.0,22.96,54.62,15.04,5.71,0.48,51.58
2016-10-24,West,21.12,32.88,37.12,24.88,7.67,0.53,61.25
2016-10-25,West,16.83,30.04,36.88,33.46,9.46,0.56,56.29
2016-10-26,West,13.75,28.75,30.0,30.25,9.42,0.47,51.79
2016-10-27,West,11.5,23.33,27.04,24.96,8.33,0.42,47.79
2016-10-28,West,12.5,23.67,25.33,27.96,5.29,0.57,50.71
2016-10-29,West,19.78,32.17,24.09,26.52,6.35,0.66,59.57
2016-10-30,West,10.12,24.17,32.83,20.96,11.92,0.29,39.88
2016-10-31,West,9.75,18.79,24.33,21.5,15.96,0.46,41.17
2016-11-01,West,9.46,19.0,31.42,14.79,19.21,0.42,39.5
2016-11-02,West,9.92,20.46,31.21,30.54,6.17,0.46,41.33
2016-11-03,West,10.17,20.17,26.58,15.04,6.25,0.52,41.71
2016-11-04,West,7.08,15.08,31.92,16.0,6.79,0.42,29.92
2016-11-05,West,8.38,17.5,28.96,15.5,8.88,0.4,34.46
2016-11-06,West,5.67,14.88,35.17,7.29,8.79,0.36,23.33
2016-11-07,West,8.32,19.59,19.91,21.45,7.18,0.5,34.59
2016-11-08,West,11.5,23.38,17.46,25.5,12.46,0.66,47.96
2016-11-09,West,17.5,30.46,37.38,23.25,18.33,0.65,57.04
2016-11-10,West,11.54,20.92,39.38,18.88,11.46,0.58,46.79
