date,overall_aqi
26/08/2018,149.02
27/08/2018,131.78
28/08/2018,151.77
29/08/2018,149.02
30/08/2018,155.39
31/08/2018,160.04
01/09/2018,153.84
02/09/2018,157.97
03/09/2018,156.42
04/09/2018,152.29
05/09/2018,149.02
06/09/2018,146.55
07/09/2018,162.1
08/09/2018,155.91
09/09/2018,153.32
10/09/2018,155.91
11/09/2018,163.65
12/09/2018,163.65
13/09/2018,156.94
14/09/2018,160.55
15/09/2018,165.2
16/09/2018,162.62
17/09/2018,161.07
18/09/2018,160.55
19/09/2018,157.97
20/09/2018,154.87
21/09/2018,156.42
22/09/2018,158.49
23/09/2018,152.81
24/09/2018,156.94
25/09/2018,161.07
26/09/2018,169.85
27/09/2018,173.46
