City,Date,AQI,Tempa,Precipitation,Windspeed,AtmoPressure
Seremban,21/01/2024,59,27.3,0.7,5,1011.2
Seremban,22/01/2024,59,26.5,7.1,3.4,1011.7
Seremban,23/01/2024,54,26.6,11.5,3.2,1012.1
Seremban,24/01/2024,32,26.7,15.4,5.3,1012.1
Seremban,25/01/2024,23,27.6,13.8,7.6,1013.2
Seremban,26/01/2024,24,28.7,0.2,17,1013.6
Seremban,27/01/2024,30,29.1,1.1,15.7,1013
Seremban,28/01/2024,37,29.4,1.2,10,1013.1
Seremban,29/01/2024,45,27.3,0.8,10.3,1012.9
Seremban,30/01/2024,48,27.8,1.3,6.6,1012.8
Seremban,31/01/2024,52,28.4,0.3,7.7,1012.6
Seremban,01/02/2024,55,27.9,4.6,4.7,1012.8
Seremban,02/02/2024,57,27.1,16.3,5.4,1012
Seremban,03/02/2024,55,27,4.2,4.9,1012.8
Seremban,04/02/2024,56,27.7,0,4.4,1013
Seremban,05/02/2024,61,27.8,2.9,6.6,1012.9
Seremban,06/02/2024,57,28,1.5,4,1012.9
Seremban,07/02/2024,55,28.6,1.3,6.3,1012
Seremban,08/02/2024,52,27.9,4,4.5,1010.8
Seremban,09/02/2024,52,28.8,7.1,4.1,1011.4
Seremban,10/02/2024,58,28.2,1.3,11.4,1013.1
Seremban,11/02/2024,56,28.2,0.2,11.8,1014
Seremban,12/02/2024,54,28.5,0.5,8,1013.2
Seremban,13/02/2024,51,29.2,0.4,8.9,1012.2
Seremban,14/02/2024,45,28.3,7.3,8.6,1011.4
Seremban,15/02/2024,41,28.2,4,10.2,1011.5
Seremban,16/02/2024,55,28.7,4.9,8.6,1011.2
Seremban,17/02/2024,53,28.7,0.6,7.7,1010.7
Seremban,18/02/2024,49,29.4,1.6,6.2,1010.6
Seremban,19/02/2024,52,29.2,0.6,7,1010.7
Seremban,20/02/2024,56,28,24.7,5.1,1010.7
Seremban,21/02/2024,54,27.5,22.6,5.1,1010.5
Seremban,22/02/2024,55,27.8,2.6,4.8,1011.2
Seremban,23/02/2024,57,28.3,2,4.9,1011.1
Seremban,24/02/2024,52,27.3,0,4.3,1010.9
Seremban,25/02/2024,49,28.8,3.8,6,1010.3
Seremban,26/02/2024,53,29.2,0,11.2,1009.6
Seremban,27/02/2024,52,29.4,0.2,10.2,1009.3
Seremban,28/02/2024,50,29.9,0.5,12.9,1008.6
Seremban,29/02/2024,52,29.6,0,9.7,1009
Seremban,01/03/2024,55,28.8,2.5,4.8,1009.7
Seremban,02/03/2024,46,28,12.1,5.4,1010.2
Seremban,03/03/2024,49,28.3,4.6,7.3,1010.2
Seremban,04/03/2024,48,29,11.5,5.5,1009.6
Seremban,05/03/2024,57,28.2,12.8,4.4,1009.5
Seremban,06/03/2024,56,28.1,6.5,4.1,1008.9
Seremban,07/03/2024,59,27.7,15.9,4.8,1008.2
Seremban,08/03/2024,55,26.3,22.7,4.8,1009.5
Seremban,09/03/2024,52,27.7,0.3,2.9,1009.5
Seremban,10/03/2024,58,28,3.1,4,1010.8
Seremban,11/03/2024,62,29.2,1.3,5,1011.9
Seremban,12/03/2024,65,28.4,2.2,4.5,1011.9
Seremban,13/03/2024,67,28.7,0,4.7,1011.5
Seremban,14/03/2024,64,28.8,0,6.5,1010.9
Seremban,15/03/2024,65,28.9,0,5,1011.1
Seremban,16/03/2024,60,29.4,0,6.9,1011.3
Seremban,17/03/2024,61,28.6,0,4.8,1010.6
Seremban,18/03/2024,60,29.6,0,5,1009.6
Seremban,19/03/2024,58,29.7,0,6.4,1009.7
Seremban,20/03/2024,55,29.3,3.8,8.2,1010.5
Seremban,21/03/2024,60,29.3,5.9,6.8,1010
Seremban,22/03/2024,57,28.8,2.4,3.4,1007.9
Seremban,23/03/2024,61,29.8,0,3.6,1008.3
Seremban,24/03/2024,70,29.8,0.6,6.3,1009.8
Seremban,25/03/2024,73,29.9,10,5.7,1009.5
Seremban,26/03/2024,66,29.8,2.7,4.5,1010.6
Seremban,27/03/2024,57,28.8,10.6,4.6,1011.8
Seremban,28/03/2024,60,29.3,2.8,5.5,1010.3
Seremban,29/03/2024,62,28.9,25.8,5.4,1009.5
Seremban,30/03/2024,67,28.1,25.8,5.6,1011.2
Seremban,31/03/2024,60,27.3,2.4,4.4,1011.5
Seremban,01/04/2024,58,29,10,4.7,1009.4
Seremban,02/04/2024,63,29.3,1.5,4.5,1008.6
Seremban,03/04/2024,61,28.9,10.8,4.9,1008.7
