Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Singapore,West,2015-10-06,53.46,26.45,85.92,7.3
Singapore,Central,2015-10-07,53.46,26.42,86.0,4.34
Singapore,East,2015-10-08,53.46,27.08,84.29,4.66
Singapore,North,2015-10-09,53.46,27.2,81.32,6.31
Singapore,North-East,2015-10-10,53.46,27.63,79.66,9.09
Singapore,West,2015-10-11,53.46,27.48,79.13,8.1
Singapore,Central,2015-10-12,53.46,27.0,83.09,6.33
Singapore,East,2015-10-13,53.46,27.53,80.84,7.59
Singapore,North,2015-10-14,53.46,27.37,82.67,6.77
Singapore,North-East,2015-10-15,53.46,27.74,77.86,7.4
Singapore,West,2015-10-16,53.46,27.57,77.25,6.6
Singapore,Central,2015-10-17,53.46,27.53,80.36,7.09
Singapore,East,2015-10-18,53.46,27.73,82.08,9.09
Singapore,North,2015-10-19,53.46,27.45,79.19,9.43
Singapore,North-East,2015-10-20,53.46,27.31,76.95,10.89
Singapore,West,2015-10-21,53.46,27.67,77.03,10.32
Singapore,Central,2015-10-22,53.46,27.77,77.7,9.04
Singapore,East,2015-10-23,53.46,27.81,80.08,10.63
Singapore,North,2015-10-24,53.46,26.8,84.87,7.98
Singapore,North-East,2015-10-25,53.46,26.39,86.17,8.32
Singapore,West,2015-10-26,53.46,26.69,84.25,5.81
Singapore,Central,2015-10-27,53.46,26.58,84.67,6.8
Singapore,East,2015-10-28,53.46,25.95,86.65,6.07
Singapore,North,2015-10-29,53.46,26.05,85.64,6.61
Singapore,North-East,2015-10-30,53.46,25.74,88.26,6.85
Singapore,West,2015-10-31,53.46,25.62,88.59,7.71
Singapore,Central,2015-11-01,53.46,26.0,87.2,7.81
Singapore,East,2015-11-02,53.46,26.32,87.34,6.71
Singapore,North,2015-11-03,53.46,26.63,84.64,6.99
Singapore,North-East,2015-11-04,53.46,26.73,85.12,5.45
Singapore,West,2015-11-05,53.46,26.74,86.05,5.51
Singapore,Central,2015-11-06,53.46,26.57,85.62,6.81
Singapore,East,2015-11-07,53.46,26.72,85.65,4.57
Singapore,North,2015-11-08,53.46,25.7,89.17,4.87
Singapore,North-East,2015-11-09,53.46,26.69,85.13,4.39
Singapore,West,2015-11-10,53.46,26.82,83.51,5.02
Singapore,Central,2015-11-11,53.46,25.81,88.86,4.98
Singapore,East,2015-11-12,53.46,26.25,86.91,4.6
Singapore,North,2015-11-13,53.46,26.23,88.3,5.01
Singapore,North-East,2015-11-14,53.46,26.48,86.83,5.6
Singapore,West,2015-11-15,53.46,25.84,88.94,5.11
Singapore,Central,2015-11-16,53.46,25.57,89.11,7.32
Singapore,East,2015-11-17,53.46,25.89,86.69,5.08
Singapore,North,2015-11-18,53.46,26.85,84.16,7.09
Singapore,North-East,2015-11-19,53.46,26.63,85.2,4.65
Singapore,West,2015-11-20,53.46,25.7,89.0,5.57
Singapore,Central,2015-11-21,53.46,25.83,88.95,5.42
Singapore,East,2015-11-22,53.46,26.13,86.93,5.64
