time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2015-06-15,27.3,23.7,31.4,24.1,,,7.8,,,,Miri
2015-06-16,26.3,23.6,30.6,0.3,,,8.8,,,,Miri
2015-06-17,26.3,23.0,30.3,163.1,,,7.5,,,,Miri
2015-06-18,28.2,23.3,32.4,2.3,,,5.6,,,,Miri
2015-06-19,28.6,24.4,32.2,0.0,,,7.6,,,,Miri
2015-06-20,29.1,24.7,32.5,0.0,,,7.1,,,,Miri
2015-06-21,29.3,26.8,33.0,,,,7.7,,,,Miri
2015-06-22,28.6,25.0,33.0,,,,7.0,,,,Miri
2015-06-23,28.7,25.0,33.0,,,,6.8,,,,Miri
2015-06-24,29.3,25.0,33.1,0.0,,,8.7,,,,Miri
2015-06-25,29.6,25.5,33.4,0.0,,,6.5,,,,Miri
2015-06-26,29.3,26.0,33.5,0.0,,,6.6,,,,Miri
2015-06-27,29.9,26.0,33.7,,,,8.4,,,,Miri
2015-06-28,28.7,26.4,33.2,0.0,,,6.9,,,,Miri
2015-06-29,28.0,24.5,33.0,,,,7.4,,,,Miri
2015-06-30,28.2,24.3,33.0,3.0,,,9.9,,,,Miri
2015-07-01,29.8,24.6,33.0,0.0,,,11.8,,,,Miri
2015-07-02,29.4,25.5,33.2,0.0,,,12.3,,,,Miri
2015-07-03,29.9,25.1,33.6,0.0,,,10.5,,,,Miri
2015-07-04,28.8,26.0,32.1,0.0,,,12.2,,,,Miri
2015-07-05,29.0,25.0,33.6,0.0,,,10.8,,,,Miri
2015-07-06,28.9,25.0,34.1,0.0,,,8.2,,,,Miri
2015-07-07,29.8,24.4,33.2,0.0,,,8.6,,,,Miri
2015-07-08,29.2,24.7,32.0,0.0,,,8.2,,,,Miri
2015-07-09,27.9,24.6,31.6,17.5,,,12.8,,,,Miri
2015-07-10,26.2,23.0,34.1,3.3,,,9.7,,,,Miri
2015-07-11,28.2,23.2,32.1,2.8,,,7.6,,,,Miri
2015-07-12,29.1,25.0,33.0,,,,6.4,,,,Miri
2015-07-13,29.7,24.8,33.2,0.0,,,7.6,,,,Miri
2015-07-14,27.9,23.6,33.2,8.6,,,6.4,,,,Miri
2015-07-15,28.6,23.6,32.8,2.5,,,8.0,,,,Miri
2015-07-16,28.8,25.0,33.0,,,,6.7,,,,Miri
2015-07-17,29.6,25.7,34.0,0.0,,,7.6,,,,Miri
2015-07-18,29.6,26.0,33.1,0.0,,,6.9,,,,Miri
2015-07-19,29.3,26.3,32.8,0.0,,,8.1,,,,Miri
2015-07-20,28.2,25.0,32.3,0.0,,,10.9,,,,Miri
2015-07-21,28.7,22.9,32.9,33.5,,,9.2,,,,Miri
2015-07-22,27.6,24.0,31.1,1.8,,,7.3,,,,Miri
2015-07-23,28.4,,,,,,9.1,,,,Miri
2015-07-24,28.3,24.6,32.4,1.3,,,7.3,,,,Miri
2015-07-25,25.7,23.0,29.4,39.9,,,7.2,,,,Miri
2015-07-26,27.9,22.7,31.2,3.8,,,6.6,,,,Miri
2015-07-27,27.3,23.0,30.0,,,,9.8,,,,Miri
2015-07-28,25.4,23.0,29.1,40.6,,,6.7,,,,Miri
2015-07-29,27.6,23.2,32.4,11.2,,,9.2,,,,Miri
2015-07-30,27.1,25.0,30.5,0.0,,,7.6,,,,Miri
2015-07-31,25.4,23.5,29.0,,,,6.7,,,,Miri
2015-08-01,25.7,23.6,30.0,,,,9.7,,,,Miri
2015-08-02,27.8,23.1,31.6,3.6,,,7.9,,,,Miri
2015-08-03,26.8,23.6,31.3,0.0,,,8.4,,,,Miri
2015-08-04,26.3,23.7,29.5,34.3,,,11.6,,,,Miri
2015-08-05,26.5,23.0,30.0,45.7,,,12.3,,,,Miri
2015-08-06,26.0,,,,,,10.1,,,,Miri
2015-08-07,26.4,23.0,31.1,8.6,,,9.2,,,,Miri
2015-08-08,25.8,23.4,29.0,,,,10.0,,1008.2,,Miri
2015-08-09,27.2,23.7,32.0,0.0,,,8.2,,1007.4,,Miri
2015-08-10,28.6,23.4,33.4,0.0,,,5.1,,1008.3,,Miri
2015-08-11,29.3,24.4,33.5,0.0,,,8.3,,1008.6,,Miri
2015-08-12,27.3,25.0,32.3,0.0,,,7.6,,1010.2,,Miri
2015-08-13,26.5,24.0,29.5,,,,10.1,,1010.8,,Miri
2015-08-14,28.2,23.6,32.0,1.5,,,9.6,,1009.9,,Miri
2015-08-15,27.7,24.0,31.4,1.8,,,6.4,,1010.6,,Miri
2015-08-16,28.3,24.9,31.5,0.5,,,7.5,,1010.3,,Miri
2015-08-17,26.6,25.0,30.0,2.3,,,6.7,,1010.7,,Miri
2015-08-18,26.9,24.0,31.0,4.6,,,9.3,,1010.7,,Miri
2015-08-19,28.3,23.9,33.0,0.5,,,11.4,,1010.1,,Miri
2015-08-20,28.5,24.9,33.0,,,,8.6,,1009.7,,Miri
2015-08-21,28.1,24.4,32.5,0.0,,,8.3,,1009.3,,Miri
2015-08-22,28.3,24.4,32.4,0.0,,,8.0,,1009.3,,Miri
2015-08-23,28.6,26.0,33.0,,,,6.4,,1009.1,,Miri
2015-08-24,28.2,25.8,32.3,0.0,,,5.0,,1009.5,,Miri
2015-08-25,27.9,25.0,31.0,,,,9.3,,,,Miri
2015-08-26,28.1,25.0,33.0,,,,8.7,,1010.9,,Miri
2015-08-27,27.6,23.6,31.2,9.4,,,8.6,,,,Miri
2015-08-28,28.6,25.0,32.0,,,,6.8,,1009.7,,Miri
2015-08-29,28.1,23.5,32.2,3.6,,,9.0,,1009.8,,Miri
2015-08-30,27.1,24.4,32.2,0.0,,,8.3,,1010.4,,Miri
2015-08-31,27.3,24.0,31.4,24.9,,,8.9,,1011.2,,Miri
2015-09-01,28.0,24.0,32.0,,,,7.0,,,,Miri
2015-09-02,28.7,24.6,32.6,0.0,,,8.1,,,,Miri
2015-09-03,28.1,25.0,31.0,0.0,,,6.6,,1011.3,,Miri
2015-09-04,27.5,,31.5,24.4,,,6.4,,,,Miri
2015-09-05,27.9,24.1,32.2,2.3,,,6.7,,1011.6,,Miri
2015-09-06,27.6,23.9,31.5,,,,11.4,,1011.5,,Miri
2015-09-07,26.9,23.8,31.0,,,,9.5,,1011.1,,Miri
2015-09-08,27.7,24.0,31.1,0.0,,,10.0,,1009.5,,Miri
2015-09-09,28.2,24.2,32.0,1.0,,,8.3,,1010.2,,Miri
2015-09-10,28.0,25.0,31.7,0.0,,,7.0,,1011.2,,Miri
2015-09-11,25.7,24.3,28.1,2.0,,,8.1,,1011.3,,Miri
2015-09-12,27.3,24.6,31.6,8.9,,,8.0,,1009.7,,Miri
2015-09-13,27.8,23.7,32.0,0.0,,,6.5,,1009.6,,Miri
2015-09-14,28.5,24.8,32.5,,,,7.4,,1008.7,,Miri
2015-09-15,26.2,23.0,29.0,,,,7.0,,1008.6,,Miri
2015-09-16,28.2,25.4,32.9,,,,6.3,,1008.4,,Miri
2015-09-17,29.2,25.9,34.2,0.0,,,10.4,,1009.3,,Miri
2015-09-18,28.9,25.0,34.0,,,,8.3,,1010.8,,Miri
2015-09-19,28.7,25.4,33.0,0.0,,,7.8,,1010.0,,Miri
2015-09-20,28.8,25.0,32.1,0.0,,,7.5,,1008.3,,Miri
2015-09-21,27.9,25.0,32.4,0.0,,,9.2,,1008.7,,Miri
2015-09-22,28.4,24.3,32.1,0.0,,,7.4,,1009.3,,Miri
2015-09-23,28.6,25.4,32.1,0.0,,,6.7,,1009.5,,Miri
2015-09-24,27.9,25.6,31.7,0.0,,,6.7,,1009.7,,Miri
2015-09-25,27.7,25.0,32.3,2.8,,,7.6,,1008.7,,Miri
2015-09-26,27.6,24.5,32.0,0.3,,,7.3,,1008.7,,Miri
2015-09-27,28.2,25.0,32.0,0.0,,,5.4,,1008.3,,Miri
2015-09-28,27.7,25.0,31.6,0.0,,,5.4,,1008.8,,Miri
2015-09-29,27.2,25.0,31.0,,,,7.9,,1010.2,,Miri
2015-09-30,28.6,24.7,32.4,4.3,,,7.2,,1010.9,,Miri
2015-10-01,28.2,25.0,32.0,,,,8.1,,1011.6,,Miri
2015-10-02,27.7,25.0,30.6,,,,7.3,,1011.7,,Miri
2015-10-03,26.9,24.0,31.5,0.0,,,7.9,,1012.7,,Miri
2015-10-04,28.1,24.0,33.0,,,,7.3,,1012.0,,Miri
2015-10-05,28.5,24.8,33.0,,,,8.1,,1011.5,,Miri
2015-10-06,28.6,24.1,33.0,0.0,,,7.4,,1010.8,,Miri
2015-10-07,27.9,25.0,32.0,,,,5.9,,1011.0,,Miri
2015-10-08,27.7,24.8,30.2,21.3,,,4.8,,1011.0,,Miri
2015-10-09,26.9,24.8,30.7,11.7,,,5.9,,1010.8,,Miri
2015-10-10,26.9,24.0,31.4,23.1,,,6.9,,1011.7,,Miri
2015-10-11,27.3,23.8,31.3,41.9,,,6.3,,1012.4,,Miri
2015-10-12,28.2,24.7,32.5,0.0,,,8.6,,1012.3,,Miri
2015-10-13,26.7,24.0,30.3,1.8,,,7.5,,1012.2,,Miri
