Country,Region,Date,Temperature,reading_type,station_name
Singapore,North-East,2017-12-19,25.28,DBT 1M F,Singapore_National
Singapore,West,2017-12-20,25.47,DBT 1M F,Singapore_National
Singapore,Central,2017-12-21,26.0,DBT 1M F,Singapore_National
Singapore,East,2017-12-22,26.24,DBT 1M F,Singapore_National
Singapore,North,2017-12-23,26.17,DBT 1M F,Singapore_National
Singapore,North-East,2017-12-24,25.15,DBT 1M F,Singapore_National
Singapore,West,2017-12-25,26.13,DBT 1M F,Singapore_National
Singapore,Central,2017-12-26,25.59,DBT 1M F,Singapore_National
Singapore,East,2017-12-27,25.33,DBT 1M F,Singapore_National
Singapore,North,2017-12-28,26.26,DBT 1M F,Singapore_National
Singapore,North-East,2017-12-29,26.23,DBT 1M F,Singapore_National
Singapore,West,2017-12-30,25.36,DBT 1M F,Singapore_National
Singapore,Central,2017-12-31,24.54,DBT 1M F,Singapore_National
